Invoice_Data,Link_ID,Invoice_Period,Invoice_Description,Invoice_Reference,Total_QRC
2023-10-01,95001135,1st Oct to 31st Dec 2023, CUSTOMS OFFICE MALINDI-WIMAX,B1-10096515502,240145.6128
2023-10-01,95001574,1st Oct to 31st Dec 2023,KRA LOITOKTOK BORDER WIMAX,B1-10096515502,240145.6128
2023-10-01,95001628,1st Oct to 31st Dec 2023,KRA KRATI MOMBASA WIMAX,B1-10096515502,240145.6128
2023-10-01,95004139,1st Oct to 31st Dec 2023,KRA -  MANDERA,B1-10096515502,180078.79439999998
2023-10-01,95004140,1st Oct to 31st Dec 2023,KRA -  Moyale,B1-10096515502,240145.6128
2023-10-01,95004141,1st Oct to 31st Dec 2023,KRA WIMAX-WAJIR TOWN,B1-10096515502,180078.79439999998
2023-10-01,95006961,1st Oct to 31st Dec 2023,KRA FIXED DATA ACCOUNTS,B1-10096515502,45134.625234600004
2023-10-01,95006963,1st Oct to 31st Dec 2023,KRA FIXED DATA ACCOUNTS,B1-10096515502,45134.625234600004
2023-10-01,95009016,1st Oct to 31st Dec 2023,KRA FIXED DATA ACCOUNTS,B1-10096515502,440220.0
2023-10-01,95021939,1st Oct to 31st Dec 2023,KENYA  SCHOOL OF REVENUE  -FIBER,B1-10096515502,61230.600000000006
2023-10-01,95022778,1st Oct to 31st Dec 2023,KRA-  KERICHO FIBER,B1-10096515502,240145.6128
2023-10-01,95034216,1st Oct to 31st Dec 2023,KRA-HQ-INTERNET,B1-10096515502,889643.9997
2023-10-01,95034612,1st Oct to 31st Dec 2023,KRA-KISUMU-LOOP-MICROWAVE,B1-10096515502,180078.79439999998
2023-10-01,95035537,1st Oct to 31st Dec 2023,KRA-KILIFI MICROWAVE,B1-10096515502,240145.6128
2023-10-01,95035538,1st Oct to 31st Dec 2023,KRA-TAVETA CERAGON,B1-10096515502,280129.995
2023-10-01,95038953,1st Oct to 31st Dec 2023,KRA- DR BACKHAUL FIBRE,B1-10096515502,374205.40920000005
2023-10-01,95044900,1st Oct to 31st Dec 2023,KRA-MARALAL,B1-10096515502,90045.0
2023-10-01,95044901,1st Oct to 31st Dec 2023,KRA-SIO PORT,B1-10096515502,117276.2088
2023-10-01,95044902,1st Oct to 31st Dec 2023,KRA-KOPANGA,B1-10096515502,117276.2088
2023-10-01,95044903,1st Oct to 31st Dec 2023,KRA-LWAKHAKHA,B1-10096515502,90045.0
2023-10-01,95045429,1st Oct to 31st Dec 2023,KRA-KITUI CERAGON,B1-10096515502,120072.8064
2023-10-01,95054463,1st Oct to 31st Dec 2023,KRA BUNGOMA MICROWAVE,B1-10096515502,180078.79439999998
2023-10-01,95054464,1st Oct to 31st Dec 2023,KRA ELDORET KIPTAGICH MPLS FIBER,B1-10096515502,280129.995
2023-10-01,95054465,1st Oct to 31st Dec 2023,KRA ELDORET KPC LOOP MICROWAVE,B1-10096515502,81470.31480000001
2023-10-01,95054466,1st Oct to 31st Dec 2023,KRA MOI AIRPORT MSA LOOP MICROWAVE,B1-10096515502,101780.46480000002
2023-10-01,95054467,1st Oct to 31st Dec 2023,KRA FORODHA JKIA LOOP FIBER,B1-10096515502,101808.4788
2023-10-01,95054468,1st Oct to 31st Dec 2023,KRA FORTIS-WESTLANDS LOOP FIBER,B1-10096515502,240145.6128
2023-10-01,95054469,1st Oct to 31st Dec 2023,KRA GARISSA LOOP MICROWAVE,B1-10096515502,280129.995
2023-10-01,95054470,1st Oct to 31st Dec 2023,KRA ISIOLO LOOP  MICROWAVE,B1-10096515502,81451.9056
2023-10-01,95054471,1st Oct to 31st Dec 2023,KRA JKIA ACHIL SHED LOOP FIBER,B1-10096515502,81451.9056
2023-10-01,95054472,1st Oct to 31st Dec 2023,KRA JKIA SWISSPORT,B1-10096515502,81451.9056
2023-10-01,95054473,1st Oct to 31st Dec 2023,KRA KAKAMEGA LOOP CERAGON,B1-10096515502,101780.46480000002
2023-10-01,95054474,1st Oct to 31st Dec 2023,KRA-KIAMBU,B1-10096515502,1392696.0
2023-10-01,95054475,1st Oct to 31st Dec 2023,KRA KISII LOOP CERAGON,B1-10096515502,81451.9056
2023-10-01,95054476,1st Oct to 31st Dec 2023,KRA MACHAKOS LOOP FIBER,B1-10096515502,85506.732
2023-10-01,95054477,1st Oct to 31st Dec 2023,KRA MERU LOOP CERAGON,B1-10096515502,85506.732
2023-10-01,95054478,1st Oct to 31st Dec 2023,KRA NAIVASHA LOOP FIBER,B1-10096515502,81451.9056
2023-10-01,95054479,1st Oct to 31st Dec 2023,KRA NAKURU GENERATION LOOP FIBER,B1-10096515502,81451.9056
2023-10-01,95054480,1st Oct to 31st Dec 2023,KRA NAKURU KPC MICROWAVE,B1-10096515502,81470.31480000001
2023-10-01,95054481,1st Oct to 31st Dec 2023,KRA NANYUKI LOOP FIBER,B1-10096515502,81451.9056
2023-10-01,95054482,1st Oct to 31st Dec 2023,KRA NYERI CERAGON,B1-10096515502,85506.732
2023-10-01,95054484,1st Oct to 31st Dec 2023,KRA PODO PARK-KESRA LOOP FIBER,B1-10096515502,120222.8814
2023-10-01,95054485,1st Oct to 31st Dec 2023,KRA-CITY SQUARE PPO,B1-10096515502,101808.4788
2023-10-01,95054486,1st Oct to 31st Dec 2023,KRA VOI CERAGON,B1-10096515502,81451.9056
2023-10-01,95059101,1st Oct to 31st Dec 2023,KRA -KAJIADO-LOOP-FIBER,B1-10096515502,68027.59680000001
2023-10-01,95059102,1st Oct to 31st Dec 2023,KRA-NAROK-LOOP-CERAGON,B1-10096515502,81470.31480000001
2023-10-01,95060864,1st Oct to 31st Dec 2023,KRA MBITA CERAGON,B1-10096515502,80029.79490000001
2023-10-01,95061438,1st Oct to 31st Dec 2023,KRA MURANGA - 15 MBPS MPLS,B1-10096515502,74053.008
2023-10-01,95062310,1st Oct to 31st Dec 2023,KRA-NAIVASHA ICD-MICROWAVE MPLS,B1-10096515502,200101.80089999997
2023-10-01,95065396,1st Oct to 31st Dec 2023, KRA  - KILINDINI 20 MBPS MPLS,B1-10096515502,289800.82800000004
2023-10-01,95065397,1st Oct to 31st Dec 2023,KRA -USENGE 10 MBPS MPLS,B1-10096515502,174087.0
2023-10-01,95096132,1st Oct to 31st Dec 2023,KRA SHIMONI- WIMAX,B1-10096515502,180078.79439999998
2023-10-01,95096536,1st Oct to 31st Dec 2023,KRA MALABA-WIMAX,B1-10096515502,280129.995
2023-10-01,95096537,1st Oct to 31st Dec 2023,KRA THIKA-WIMAX,B1-10096515502,80029.79490000001
2023-10-01,95096538,1st Oct to 31st Dec 2023,KRA BUSIA-WIMAX,B1-10096515502,280173.2166
2023-10-01,95096687,1st Oct to 31st Dec 2023,KRA CUSTOMS OFFICE-  NAIROBI-NAMANGA WIMAX,B1-10096515502,280129.995
2023-10-01,95096716,1st Oct to 31st Dec 2023,KRA ISEBANIA-WIMAX,B1-10096515502,294887.7702
2023-10-01,95096873,1st Oct to 31st Dec 2023,KRA LUNGA LUNGA WIMAX,B1-10096515502,280129.995
